#	Label	Interval	Total	Time Recorded
	Start	---	---	Tue, 7 Jan 2025, 19:29:03.921
1	Split	00:44:44.308	00:44:44.308	Tue, 7 Jan 2025, 20:13:48.229
2	Pause	---	---	Tue, 7 Jan 2025, 20:13:48.229
	Start	---	---	Tue, 7 Jan 2025, 20:33:42.815
3	Split	00:25:50.314	01:10:34.622	Tue, 7 Jan 2025, 20:59:33.129
4	Pause	---	---	Tue, 7 Jan 2025, 20:59:33.129
	Start	---	---	Tue, 7 Jan 2025, 21:01:46.274
5	Split	02:13:10.751	03:23:45.373	Tue, 7 Jan 2025, 23:14:57.025
6	Pause	---	---	Tue, 7 Jan 2025, 23:14:57.025
